farmer_id,district,lat,lon,crop_type,date,field_area_ha
AMR_0001,Amritsar,31.710708,74.855186,rice,2023-11-03,4.34
AMR_0002,Amritsar,31.52037,75.005474,rice,2023-11-23,4.69
AMR_0003,Amritsar,31.714098,74.768172,rice,2023-11-22,2.54
AMR_0004,Amritsar,31.753494,74.912582,rice,2023-11-04,5.03
AMR_0005,Amritsar,31.618156,74.795927,rice,2023-10-19,0.85
AMR_0006,Amritsar,31.725737,74.909166,rice,2023-11-09,4.67
AMR_0007,Amritsar,31.593267,75.004095,rice,2023-11-04,4.78
AMR_0008,Amritsar,31.548499,74.862982,rice,2023-11-25,0.74
AMR_0009,Amritsar,31.537201,74.923554,rice,2023-11-26,5.82
AMR_0010,Amritsar,31.585231,74.836029,rice,2023-11-18,3.08
AMR_0011,Amritsar,31.547052,74.768678,rice,2023-11-15,1.75
AMR_0012,Amritsar,31.681548,74.854703,rice,2023-11-05,5.08
AMR_0013,Amritsar,31.690074,74.819763,rice,2023-11-19,4.93
AMR_0014,Amritsar,31.602494,74.813032,rice,2023-11-22,4.25
AMR_0015,Amritsar,31.533131,74.788274,rice,2023-11-21,4.83
AMR_0016,Amritsar,31.680158,74.929746,rice,2023-10-15,4.79
AMR_0017,Amritsar,31.622496,74.891548,rice,2023-10-16,1.13
AMR_0018,Amritsar,31.681153,74.864207,rice,2023-10-21,3.61
AMR_0019,Amritsar,31.7082,74.910021,rice,2023-11-10,3.58
AMR_0020,Amritsar,31.579106,74.740929,rice,2023-11-09,2.9
AMR_0021,Amritsar,31.554084,74.846688,rice,2023-11-29,1.79
AMR_0022,Amritsar,31.510325,74.811087,rice,2023-11-23,2.11
AMR_0023,Amritsar,31.679337,74.888269,rice,2023-11-07,4.15
AMR_0024,Amritsar,31.607788,74.960226,rice,2023-11-20,1.42
AMR_0025,Amritsar,31.500359,74.757513,rice,2023-11-19,3.04
AMR_0026,Amritsar,31.539156,74.872593,rice,2023-11-17,1.34
AMR_0027,Amritsar,31.68897,74.857224,rice,2023-10-22,2.16
AMR_0028,Amritsar,31.670479,74.833608,rice,2023-11-01,0.98
AMR_0029,Amritsar,31.527042,75.001631,rice,2023-10-31,4.35
AMR_0030,Amritsar,31.568444,75.003669,rice,2023-11-25,4.78
AMR_0031,Amritsar,31.694729,74.858121,rice,2023-11-17,1.03
