farmer_id,lat,lon,date,field_area_ha,biomass_label
FARMER_0001,31.821868,75.42385,2024-10-24,4.19,2.146
FARMER_0002,30.483133,74.488883,2024-11-08,1.64,2.891
FARMER_0003,32.196785,74.392141,2024-10-26,6.52,1.911
FARMER_0004,31.353212,74.282254,2024-10-14,1.74,0.988
FARMER_0005,31.287747,74.067867,2024-11-05,4.79,2.728
FARMER_0006,30.762492,77.292785,2024-11-25,4.25,1.805
FARMER_0007,29.699143,74.056921,2024-11-26,1.05,3.501
FARMER_0008,30.54837,74.387191,2024-10-23,7.09,0.531
FARMER_0009,31.62874,75.830487,2024-11-20,3.03,0.23
FARMER_0010,30.38542,77.142053,2024-10-14,7.65,1.772
FARMER_0011,29.977988,75.797217,2024-11-22,7.94,1.97
FARMER_0012,32.242959,74.486764,2024-10-14,3.87,1.403
FARMER_0013,31.524073,74.674661,2024-11-20,1.71,2.755
FARMER_0014,32.122653,76.810815,2024-10-04,2.63,3.502
FARMER_0015,31.21965,77.389269,2024-10-27,6.23,3.108
FARMER_0016,31.890838,75.072187,2024-10-22,5.24,1.814
FARMER_0017,31.102044,75.553723,2024-11-05,4.72,1.902
FARMER_0018,30.706571,74.280863,2024-11-18,3.37,0.34
FARMER_0019,30.19531,75.578987,2024-11-22,7.27,2.698
FARMER_0020,30.761877,73.856431,2024-10-12,6.75,2.149
FARMER_0021,31.431836,74.94591,2024-10-25,6.46,1.767
FARMER_0022,29.689681,75.379427,2024-11-13,1.03,0.1
FARMER_0023,30.494465,75.990121,2024-11-18,2.33,2.858
FARMER_0024,30.186896,74.692248,2024-11-03,7.41,0.1
FARMER_0025,31.943587,77.28402,2024-11-10,1.94,1.871
FARMER_0026,30.154339,76.212533,2024-10-18,1.69,2.143
FARMER_0027,31.737329,74.029935,2024-11-05,3.58,2.465
FARMER_0028,30.050222,77.174526,2024-10-26,3.42,1.415
FARMER_0029,29.712538,74.49259,2024-11-20,5.94,2.648
FARMER_0030,30.063881,73.806233,2024-11-19,5.62,1.313
FARMER_0031,32.129637,75.193187,2024-11-25,1.4,2.565
FARMER_0032,31.764173,77.034628,2024-10-21,3.25,1.494
FARMER_0033,31.772707,74.521397,2024-10-04,6.74,0.1
FARMER_0034,30.893713,74.397168,2024-11-16,1.87,3.079
FARMER_0035,29.589751,73.947032,2024-11-23,6.49,3.172
FARMER_0036,31.912194,75.824221,2024-11-07,6.93,0.1
FARMER_0037,31.248883,76.813283,2024-11-03,4.13,1.304
FARMER_0038,31.286859,74.852331,2024-11-16,6.71,1.536
FARMER_0039,31.118806,76.465306,2024-11-10,5.81,2.51
FARMER_0040,31.584734,76.641218,2024-10-13,2.73,0.677
FARMER_0041,32.169302,74.573664,2024-11-12,4.98,0.164
FARMER_0042,30.616754,74.427422,2024-10-23,5.89,0.1
FARMER_0043,30.848758,73.803465,2024-10-17,7.13,2.923
FARMER_0044,31.456348,77.203804,2024-11-03,2.25,1.639
FARMER_0045,30.185346,76.374629,2024-10-01,3.51,0.627
FARMER_0046,30.139818,77.16695,2024-11-24,3.94,3.611
FARMER_0047,31.52365,76.203109,2024-10-17,2.34,1.653
FARMER_0048,30.911904,76.664602,2024-10-13,3.84,2.024
FARMER_0049,29.937773,77.158881,2024-11-02,3.01,3.582
FARMER_0050,32.015986,74.470742,2024-11-14,7.64,2.953
FARMER_0051,30.373086,75.374506,2024-10-07,5.83,1.157
FARMER_0052,29.627841,75.109782,2024-11-01,4.38,2.653
FARMER_0053,30.232205,77.345505,2024-10-25,7.41,0.1
FARMER_0054,29.639102,75.559242,2024-10-22,5.77,1.568
FARMER_0055,31.047565,74.823053,2024-10-21,7.12,1.244
FARMER_0056,32.374003,77.488848,2024-10-26,1.18,2.112
FARMER_0057,32.065552,76.395947,2024-10-04,1.93,1.914
FARMER_0058,31.53105,74.192159,2024-11-21,1.81,3.248
FARMER_0059,30.807701,77.136014,2024-10-04,4.27,2.772
FARMER_0060,29.954287,74.493038,2024-10-07,6.18,3.355
