farmer_id,lat,lon,date,cloud_pct,source,ndvi_mean,ndvi_std,image_path,channels,valid,biomass_label,field_area_ha
FARMER_0001,31.821868,75.42385,2024-10-24,13.8,synthetic,0.3327,0.215,images\FARMER_0001_2024-10-24.npy,5,True,2.146,4.19
FARMER_0002,30.483133,74.488883,2024-11-08,3.7,synthetic,0.3629,0.2101,images\FARMER_0002_2024-11-08.npy,5,True,2.891,1.64
FARMER_0003,32.196785,74.392141,2024-10-26,8.4,synthetic,0.2228,0.231,images\FARMER_0003_2024-10-26.npy,5,True,1.911,6.52
FARMER_0004,31.353212,74.282254,2024-10-14,12.4,synthetic,0.1108,0.2407,images\FARMER_0004_2024-10-14.npy,5,True,0.988,1.74
FARMER_0005,31.287747,74.067867,2024-11-05,14.9,synthetic,0.3525,0.2126,images\FARMER_0005_2024-11-05.npy,5,True,2.728,4.79
FARMER_0006,30.762492,77.292785,2024-11-25,3.0,synthetic,0.2545,0.2258,images\FARMER_0006_2024-11-25.npy,5,True,1.805,4.25
FARMER_0007,29.699143,74.056921,2024-11-26,2.9,synthetic,0.4042,0.2026,images\FARMER_0007_2024-11-26.npy,5,True,3.501,1.05
FARMER_0008,30.54837,74.387191,2024-10-23,11.6,synthetic,0.0066,0.2407,images\FARMER_0008_2024-10-23.npy,5,True,0.531,7.09
FARMER_0009,31.62874,75.830487,2024-11-20,11.2,synthetic,0.1039,0.2395,images\FARMER_0009_2024-11-20.npy,5,True,0.23,3.03
FARMER_0010,30.38542,77.142053,2024-10-14,5.0,synthetic,0.2746,0.2223,images\FARMER_0010_2024-10-14.npy,5,True,1.772,7.65
FARMER_0011,29.977988,75.797217,2024-11-22,13.3,synthetic,0.3322,0.2157,images\FARMER_0011_2024-11-22.npy,5,True,1.97,7.94
FARMER_0012,32.242959,74.486764,2024-10-14,9.7,synthetic,0.2453,0.2276,images\FARMER_0012_2024-10-14.npy,5,True,1.403,3.87
FARMER_0013,31.524073,74.674661,2024-11-20,10.3,synthetic,0.2395,0.2261,images\FARMER_0013_2024-11-20.npy,5,True,2.755,1.71
FARMER_0014,32.122653,76.810815,2024-10-04,14.6,synthetic,0.416,0.2011,images\FARMER_0014_2024-10-04.npy,5,True,3.502,2.63
FARMER_0015,31.21965,77.389269,2024-10-27,1.5,synthetic,0.3914,0.2063,images\FARMER_0015_2024-10-27.npy,5,True,3.108,6.23
FARMER_0016,31.890838,75.072187,2024-10-22,11.3,synthetic,0.1948,0.2322,images\FARMER_0016_2024-10-22.npy,5,True,1.814,5.24
FARMER_0017,31.102044,75.553723,2024-11-05,8.4,synthetic,0.3418,0.2137,images\FARMER_0017_2024-11-05.npy,5,True,1.902,4.72
FARMER_0018,30.706571,74.280863,2024-11-18,11.8,synthetic,-0.0366,0.2435,images\FARMER_0018_2024-11-18.npy,5,True,0.34,3.37
FARMER_0019,30.19531,75.578987,2024-11-22,8.9,synthetic,0.3155,0.2171,images\FARMER_0019_2024-11-22.npy,5,True,2.698,7.27
FARMER_0020,30.761877,73.856431,2024-10-12,4.9,synthetic,0.3017,0.2209,images\FARMER_0020_2024-10-12.npy,5,True,2.149,6.75
FARMER_0021,31.431836,74.94591,2024-10-25,7.8,synthetic,0.2407,0.2277,images\FARMER_0021_2024-10-25.npy,5,True,1.767,6.46
FARMER_0022,29.689681,75.379427,2024-11-13,8.8,synthetic,0.0169,0.2401,images\FARMER_0022_2024-11-13.npy,5,True,0.1,1.03
FARMER_0023,30.494465,75.990121,2024-11-18,1.4,synthetic,0.2662,0.2246,images\FARMER_0023_2024-11-18.npy,5,True,2.858,2.33
FARMER_0024,30.186896,74.692248,2024-11-03,0.1,synthetic,-0.0401,0.2404,images\FARMER_0024_2024-11-03.npy,5,True,0.1,7.41
FARMER_0025,31.943587,77.28402,2024-11-10,11.5,synthetic,0.3139,0.2183,images\FARMER_0025_2024-11-10.npy,5,True,1.871,1.94
FARMER_0026,30.154339,76.212533,2024-10-18,11.6,synthetic,0.3173,0.2191,images\FARMER_0026_2024-10-18.npy,5,True,2.143,1.69
FARMER_0027,31.737329,74.029935,2024-11-05,12.2,synthetic,0.2634,0.2254,images\FARMER_0027_2024-11-05.npy,5,True,2.465,3.58
FARMER_0028,30.050222,77.174526,2024-10-26,4.6,synthetic,0.0698,0.2399,images\FARMER_0028_2024-10-26.npy,5,True,1.415,3.42
FARMER_0029,29.712538,74.49259,2024-11-20,13.8,synthetic,0.312,0.2183,images\FARMER_0029_2024-11-20.npy,5,True,2.648,5.94
FARMER_0030,30.063881,73.806233,2024-11-19,10.9,synthetic,0.1659,0.2346,images\FARMER_0030_2024-11-19.npy,5,True,1.313,5.62
FARMER_0031,32.129637,75.193187,2024-11-25,12.0,synthetic,0.3203,0.2169,images\FARMER_0031_2024-11-25.npy,5,True,2.565,1.4
FARMER_0032,31.764173,77.034628,2024-10-21,6.2,synthetic,0.1592,0.235,images\FARMER_0032_2024-10-21.npy,5,True,1.494,3.25
FARMER_0033,31.772707,74.521397,2024-10-04,0.8,synthetic,0.0471,0.2394,images\FARMER_0033_2024-10-04.npy,5,True,0.1,6.74
FARMER_0034,30.893713,74.397168,2024-11-16,0.0,synthetic,0.4033,0.2021,images\FARMER_0034_2024-11-16.npy,5,True,3.079,1.87
FARMER_0035,29.589751,73.947032,2024-11-23,14.3,synthetic,0.3411,0.2138,images\FARMER_0035_2024-11-23.npy,5,True,3.172,6.49
FARMER_0036,31.912194,75.824221,2024-11-07,11.2,synthetic,-0.0212,0.2436,images\FARMER_0036_2024-11-07.npy,5,True,0.1,6.93
FARMER_0037,31.248883,76.813283,2024-11-03,2.9,synthetic,0.1318,0.2397,images\FARMER_0037_2024-11-03.npy,5,True,1.304,4.13
FARMER_0038,31.286859,74.852331,2024-11-16,5.6,synthetic,0.2011,0.2298,images\FARMER_0038_2024-11-16.npy,5,True,1.536,6.71
