farmer_id,district,lat,lon,crop_type,date,cloud_pct,source,ndvi_mean,ndvi_std,image_path,channels,valid,biomass_label,field_area_ha
AMR_0001,Amritsar,31.710708,74.855186,rice,2023-11-03,0.0,cached,0.2655,0.1406,images\AMR_0001_2023-11-03.npy,5,True,2.22,4.34
AMR_0002,Amritsar,31.52037,75.005474,rice,2023-11-23,0.0,cached,,,images\AMR_0002_2023-11-23.npy,5,True,,4.69
AMR_0003,Amritsar,31.714098,74.768172,rice,2023-11-22,0.0,cached,0.148,0.0667,images\AMR_0003_2023-11-22.npy,5,True,1.407,2.54
AMR_0004,Amritsar,31.753494,74.912582,rice,2023-11-04,0.0,cached,0.2012,0.1279,images\AMR_0004_2023-11-04.npy,5,True,1.778,5.03
AMR_0005,Amritsar,31.618156,74.795927,rice,2023-10-19,0.0,cached,0.1992,0.1278,images\AMR_0005_2023-10-19.npy,5,True,1.449,0.85
AMR_0006,Amritsar,31.725737,74.909166,rice,2023-11-09,0.0,cached,0.2167,0.1341,images\AMR_0006_2023-11-09.npy,5,True,1.909,4.67
AMR_0007,Amritsar,31.593267,75.004095,rice,2023-10-24,7.3e-05,planetary_computer,,,images\AMR_0007_2023-11-04.npy,5,True,,4.78
AMR_0008,Amritsar,31.548499,74.862982,rice,2023-11-23,0.047505,planetary_computer,,,images\AMR_0008_2023-11-25.npy,5,True,,0.74
AMR_0009,Amritsar,31.537201,74.923554,rice,2023-11-23,0.056008,planetary_computer,0.1644,0.0816,images\AMR_0009_2023-11-26.npy,5,True,1.679,5.82
AMR_0010,Amritsar,31.585231,74.836029,rice,2023-11-23,0.047505,planetary_computer,0.2706,0.1369,images\AMR_0010_2023-11-18.npy,5,True,2.28,3.08
AMR_0011,Amritsar,31.547052,74.768678,rice,2023-11-13,0.777453,planetary_computer,0.1778,0.1087,images\AMR_0011_2023-11-15.npy,5,True,1.533,1.75
AMR_0012,Amritsar,31.681548,74.854703,rice,2023-10-24,6e-05,planetary_computer,0.2309,0.1377,images\AMR_0012_2023-11-05.npy,5,True,1.87,5.08
