date,aqi,temperature,humidity,wind_speed,day_of_year,month,biomass_tons_per_ha
2022-01-01,154.8,14.3,75.5,5.17,1,1,1.576
2022-01-02,165.4,13.1,69.6,5.62,2,1,1.521
2022-01-03,166.9,14.7,76.4,5.01,3,1,1.589
2022-01-04,167.4,16.6,65.8,5.28,4,1,1.563
2022-01-05,165.3,13.1,79.4,6.29,5,1,1.87
2022-01-06,129.7,13.2,76.5,9.79,6,1,1.575
2022-01-07,172.5,16.9,75.3,5.09,7,1,1.811
2022-01-08,172.1,15.4,78.8,5.49,8,1,1.945
2022-01-09,171.6,13.0,82.1,6.59,9,1,1.614
2022-01-10,210.7,15.1,78.7,5.2,10,1,1.981
2022-01-11,175.4,13.2,64.3,5.77,11,1,1.595
2022-01-12,220.2,13.3,67.0,6.28,12,1,2.165
2022-01-13,195.7,14.8,70.2,5.91,13,1,1.519
2022-01-14,211.0,10.6,73.3,5.15,14,1,1.732
2022-01-15,184.7,11.1,75.6,5.37,15,1,1.636
2022-01-16,189.5,13.5,69.2,6.46,16,1,1.598
2022-01-17,171.8,12.7,73.6,5.72,17,1,1.7
2022-01-18,204.6,15.5,68.7,4.91,18,1,1.743
2022-01-19,182.7,13.2,69.3,6.33,19,1,1.501
2022-01-20,194.7,12.3,65.1,4.92,20,1,1.537
2022-01-21,170.4,18.2,67.4,6.24,21,1,1.75
2022-01-22,175.4,14.9,65.1,5.08,22,1,1.72
2022-01-23,194.2,15.7,66.7,8.02,23,1,2.177
2022-01-24,182.9,12.8,76.7,5.29,24,1,1.786
2022-01-25,214.0,14.7,66.5,5.21,25,1,2.102
2022-01-26,183.6,16.2,84.2,4.96,26,1,1.742
2022-01-27,199.3,13.8,73.3,5.15,27,1,1.571
2022-01-28,157.2,17.0,71.5,6.86,28,1,1.522
2022-01-29,154.7,15.3,66.1,10.36,29,1,1.804
2022-01-30,192.5,16.0,73.7,5.2,30,1,1.707
2022-01-31,175.1,15.6,67.1,5.32,31,1,1.51
2022-02-01,187.0,20.7,70.3,5.98,32,2,1.589
2022-02-02,200.2,17.1,82.3,6.86,33,2,2.128
2022-02-03,183.0,15.2,68.8,5.57,34,2,1.639
2022-02-04,173.1,19.2,74.7,5.14,35,2,1.613
2022-02-05,156.0,15.3,65.2,5.16,36,2,1.622
2022-02-06,177.4,18.3,68.3,5.8,37,2,1.547
2022-02-07,166.5,14.2,77.1,4.59,38,2,1.592
2022-02-08,180.5,15.6,64.8,5.53,39,2,1.592
2022-02-09,180.4,18.9,76.8,4.98,40,2,1.511
2022-02-10,196.7,20.1,71.0,6.1,41,2,1.792
2022-02-11,191.5,19.2,64.4,4.6,42,2,1.608
2022-02-12,192.8,18.8,70.1,5.36,43,2,1.845
2022-02-13,212.4,18.7,71.5,5.11,44,2,1.88
2022-02-14,196.2,16.5,69.4,5.46,45,2,1.548
2022-02-15,205.4,18.3,58.2,4.47,46,2,1.714
2022-02-16,200.7,19.0,62.1,5.25,47,2,1.628
2022-02-17,181.5,22.3,64.2,5.18,48,2,1.924
2022-02-18,195.1,21.1,64.8,5.15,49,2,1.549
2022-02-19,203.4,17.1,68.0,5.23,50,2,1.727
2022-02-20,178.3,21.5,65.5,5.41,51,2,1.687
2022-02-21,173.6,20.3,57.6,5.89,52,2,1.57
2022-02-22,184.3,19.9,65.9,4.54,53,2,1.529
2022-02-23,181.9,22.7,66.7,5.94,54,2,1.711
2022-02-24,199.0,23.8,66.1,4.86,55,2,1.768
2022-02-25,217.8,23.8,68.4,4.22,56,2,1.576
2022-02-26,223.6,20.5,66.9,4.17,57,2,1.707
2022-02-27,182.4,21.8,64.7,4.49,58,2,1.601
2022-02-28,195.9,23.4,61.7,5.59,59,2,1.75
2022-03-01,204.9,24.9,53.4,5.25,60,3,1.544
2022-03-02,206.7,22.2,63.6,5.55,61,3,1.942
2022-03-03,209.4,23.1,62.1,4.69,62,3,1.568
2022-03-04,226.2,21.5,62.1,4.51,63,3,1.592
2022-03-05,216.5,21.5,54.1,4.06,64,3,1.512
2022-03-06,200.6,25.8,54.7,4.27,65,3,1.524
2022-03-07,211.2,27.1,65.0,4.41,66,3,1.645
2022-03-08,201.3,24.5,59.2,3.9,67,3,1.562
2022-03-09,207.2,26.9,62.5,4.03,68,3,1.861
2022-03-10,183.6,25.9,58.9,4.66,69,3,1.503
2022-03-11,205.6,24.1,58.6,5.05,70,3,1.596
2022-03-12,135.2,26.4,62.8,10.09,71,3,1.583
2022-03-13,175.8,29.0,55.2,6.36,72,3,1.504
2022-03-14,186.7,26.1,57.9,4.65,73,3,1.527
2022-03-15,168.5,29.6,54.8,4.13,74,3,1.608
2022-03-16,186.9,21.5,54.5,4.56,75,3,1.637
2022-03-17,149.8,28.6,54.8,5.06,76,3,1.605
2022-03-18,192.7,27.4,57.1,3.61,77,3,1.653
2022-03-19,207.4,26.9,53.3,3.98,78,3,1.683
2022-03-20,172.0,27.9,61.6,5.25,79,3,1.505
2022-03-21,187.7,24.0,50.5,3.87,80,3,1.629
2022-03-22,238.4,27.8,53.7,4.2,81,3,2.167
2022-03-23,195.6,29.2,52.1,4.2,82,3,1.652
2022-03-24,183.1,31.7,61.2,3.49,83,3,1.734
2022-03-25,209.4,28.0,54.6,3.7,84,3,1.584
2022-03-26,233.7,27.7,58.4,3.62,85,3,1.809
2022-03-27,214.5,28.5,45.5,3.21,86,3,1.81
2022-03-28,217.9,31.6,53.9,3.17,87,3,1.664
2022-03-29,233.8,30.7,56.7,4.89,88,3,2.266
2022-03-30,190.2,29.3,52.3,3.4,89,3,1.551
2022-03-31,176.8,31.6,56.9,3.77,90,3,1.532
2022-04-01,213.2,31.0,48.6,3.36,91,4,1.828
2022-04-02,212.7,33.0,57.9,5.8,92,4,1.87
2022-04-03,203.8,29.9,62.1,3.24,93,4,1.573
2022-04-04,179.1,30.9,48.4,3.47,94,4,1.618
2022-04-05,200.5,31.0,47.7,4.93,95,4,1.569
2022-04-06,173.8,29.2,56.8,4.68,96,4,1.646
2022-04-07,191.2,32.9,57.1,3.01,97,4,1.886
2022-04-08,189.6,33.1,46.3,4.39,98,4,1.749
2022-04-09,213.4,32.8,46.5,3.35,99,4,1.704
2022-04-10,210.4,32.6,46.8,3.36,100,4,1.728
2022-04-11,203.9,30.5,41.2,2.81,101,4,1.655
2022-04-12,206.6,32.7,43.0,2.72,102,4,1.746
2022-04-13,197.6,33.1,42.3,3.9,103,4,1.906
2022-04-14,229.2,32.4,43.1,3.25,104,4,2.454
2022-04-15,179.9,33.9,46.5,3.11,105,4,2.125
2022-04-16,178.8,35.3,47.5,3.81,106,4,1.783
2022-04-17,204.5,38.5,53.8,3.91,107,4,2.266
2022-04-18,196.5,35.3,40.7,2.6,108,4,2.147
2022-04-19,212.1,35.7,50.3,3.34,109,4,2.178
2022-04-20,208.2,35.3,44.1,2.51,110,4,2.034
2022-04-21,226.9,31.8,44.6,3.72,111,4,2.05
2022-04-22,232.4,35.8,47.9,3.37,112,4,2.059
2022-04-23,186.0,36.2,38.6,5.41,113,4,2.04
2022-04-24,204.2,41.2,45.9,2.31,114,4,2.118
2022-04-25,212.4,36.1,44.5,2.26,115,4,2.163
2022-04-26,211.4,37.3,45.8,2.5,116,4,2.279
2022-04-27,228.1,36.9,44.6,2.45,117,4,2.462
2022-04-28,214.4,34.8,55.1,2.39,118,4,2.355
2022-04-29,184.6,39.6,39.4,4.45,119,4,2.276
2022-04-30,244.7,39.0,39.6,2.34,120,4,2.934
2022-05-01,261.2,39.3,38.9,2.34,121,5,2.907
2022-05-02,226.2,36.1,39.0,3.41,122,5,2.675
2022-05-03,274.4,40.9,38.3,2.56,123,5,3.346
