date,biomass_tons_per_ha
2019-01-01,1.463
2019-01-02,1.209
2019-01-03,1.317
2019-01-04,1.206
2019-01-05,1.676
2019-01-06,1.385
2019-01-07,1.335
2019-01-08,1.306
2019-01-09,1.375
2019-01-10,1.336
2019-01-11,1.391
2019-01-12,1.211
2019-01-13,1.232
2019-01-14,1.266
2019-01-15,1.27
2019-01-16,1.266
2019-01-17,1.504
2019-01-18,1.383
2019-01-19,1.492
2019-01-20,1.354
2019-01-21,1.44
2019-01-22,1.339
2019-01-23,1.39
2019-01-24,1.316
2019-01-25,1.203
2019-01-26,1.249
2019-01-27,1.243
2019-01-28,1.513
2019-01-29,1.263
2019-01-30,1.684
2019-01-31,1.436
2019-02-01,1.416
2019-02-02,1.209
2019-02-03,1.249
2019-02-04,1.337
2019-02-05,1.267
2019-02-06,1.278
2019-02-07,1.236
2019-02-08,1.261
2019-02-09,1.315
2019-02-10,2.108
2019-02-11,1.276
2019-02-12,1.201
2019-02-13,1.243
2019-02-14,1.671
2019-02-15,1.235
2019-02-16,1.202
2019-02-17,1.377
2019-02-18,1.216
2019-02-19,1.278
2019-02-20,1.335
2019-02-21,1.618
2019-02-22,1.24
2019-02-23,1.361
2019-02-24,1.218
2019-02-25,1.295
2019-02-26,1.524
2019-02-27,1.264
2019-02-28,1.349
2019-03-01,1.331
2019-03-02,1.221
2019-03-03,1.362
2019-03-04,1.214
2019-03-05,1.245
2019-03-06,1.237
2019-03-07,1.239
2019-03-08,1.22
2019-03-09,1.661
2019-03-10,1.299
2019-03-11,1.292
2019-03-12,1.376
2019-03-13,1.431
2019-03-14,1.256
2019-03-15,1.245
2019-03-16,1.623
2019-03-17,1.883
2019-03-18,1.32
2019-03-19,1.389
2019-03-20,1.209
2019-03-21,1.275
2019-03-22,1.349
2019-03-23,1.265
2019-03-24,1.229
2019-03-25,1.246
2019-03-26,1.22
2019-03-27,1.205
2019-03-28,1.501
2019-03-29,1.382
2019-03-30,1.229
2019-03-31,1.386
2019-04-01,1.366
2019-04-02,1.27
2019-04-03,1.302
2019-04-04,1.406
2019-04-05,1.224
2019-04-06,1.43
2019-04-07,1.234
2019-04-08,1.249
2019-04-09,1.459
2019-04-10,1.249
2019-04-11,1.505
2019-04-12,1.413
2019-04-13,1.402
2019-04-14,1.493
2019-04-15,1.438
2019-04-16,1.456
2019-04-17,1.452
2019-04-18,1.471
2019-04-19,1.499
2019-04-20,1.633
2019-04-21,1.49
2019-04-22,1.764
2019-04-23,1.954
2019-04-24,1.614
2019-04-25,1.755
2019-04-26,1.76
2019-04-27,1.771
2019-04-28,1.83
2019-04-29,1.955
2019-04-30,1.95
2019-05-01,2.062
2019-05-02,2.193
2019-05-03,2.14
2019-05-04,2.565
2019-05-05,2.12
2019-05-06,2.302
2019-05-07,2.188
2019-05-08,2.358
2019-05-09,2.21
2019-05-10,2.444
2019-05-11,2.556
2019-05-12,2.213
2019-05-13,2.224
2019-05-14,2.167
2019-05-15,2.136
2019-05-16,2.185
2019-05-17,2.256
2019-05-18,2.138
2019-05-19,1.971
2019-05-20,1.916
2019-05-21,2.043
2019-05-22,1.857
2019-05-23,1.76
2019-05-24,1.801
2019-05-25,2.109
2019-05-26,1.747
2019-05-27,1.635
2019-05-28,1.545
2019-05-29,1.749
2019-05-30,1.537
2019-05-31,1.794
2019-06-01,1.444
2019-06-02,1.888
2019-06-03,1.37
2019-06-04,1.314
2019-06-05,1.423
2019-06-06,1.348
2019-06-07,1.432
2019-06-08,1.291
2019-06-09,1.287
2019-06-10,1.469
2019-06-11,1.401
2019-06-12,1.406
2019-06-13,1.219
2019-06-14,1.308
2019-06-15,1.4
2019-06-16,1.424
2019-06-17,1.284
2019-06-18,1.678
2019-06-19,1.246
2019-06-20,1.32
2019-06-21,1.277
2019-06-22,1.211
2019-06-23,1.205
2019-06-24,1.207
2019-06-25,1.211
2019-06-26,1.219
2019-06-27,1.434
2019-06-28,1.238
2019-06-29,1.352
2019-06-30,1.278
2019-07-01,1.254
2019-07-02,1.242
2019-07-03,1.298
2019-07-04,1.292
2019-07-05,1.402
2019-07-06,1.221
2019-07-07,1.284
2019-07-08,1.484
2019-07-09,1.324
2019-07-10,1.248
2019-07-11,1.322
2019-07-12,1.201
2019-07-13,1.296
2019-07-14,1.288
2019-07-15,1.206
2019-07-16,1.278
2019-07-17,1.405
2019-07-18,1.265
2019-07-19,1.271
2019-07-20,1.266
2019-07-21,1.377
2019-07-22,1.242
2019-07-23,1.227
2019-07-24,1.309
2019-07-25,1.229
2019-07-26,1.202
2019-07-27,1.329
2019-07-28,1.217
2019-07-29,1.319
2019-07-30,1.286
2019-07-31,1.37
2019-08-01,1.238
2019-08-02,1.348
2019-08-03,1.501
2019-08-04,1.258
2019-08-05,1.206
2019-08-06,1.262
2019-08-07,1.38
2019-08-08,1.206
2019-08-09,1.212
2019-08-10,1.212
2019-08-11,1.202
2019-08-12,1.218
2019-08-13,1.3
2019-08-14,1.222
2019-08-15,1.517
2019-08-16,1.253
2019-08-17,1.217
2019-08-18,1.242
2019-08-19,1.314
2019-08-20,1.257
2019-08-21,2.337
2019-08-22,1.528
2019-08-23,1.386
2019-08-24,1.507
2019-08-25,1.213
2019-08-26,1.215
2019-08-27,1.478
2019-08-28,1.476
2019-08-29,1.51
2019-08-30,1.323
2019-08-31,1.264
2019-09-01,1.435
2019-09-02,1.242
2019-09-03,1.524
2019-09-04,1.619
2019-09-05,1.426
2019-09-06,1.515
2019-09-07,1.334
2019-09-08,1.511
2019-09-09,1.825
2019-09-10,1.326
2019-09-11,1.454
2019-09-12,1.301
2019-09-13,1.555
2019-09-14,1.436
2019-09-15,1.347
2019-09-16,1.375
2019-09-17,1.38
2019-09-18,1.541
2019-09-19,1.518
2019-09-20,1.66
2019-09-21,1.646
2019-09-22,1.568
2019-09-23,1.587
2019-09-24,1.764
2019-09-25,1.67
2019-09-26,1.72
2019-09-27,1.896
2019-09-28,2.016
2019-09-29,2.041
2019-09-30,1.994
2019-10-01,2.245
2019-10-02,2.426
2019-10-03,2.283
2019-10-04,2.61
2019-10-05,2.448
2019-10-06,2.613
2019-10-07,2.711
2019-10-08,2.788
2019-10-09,3.084
2019-10-10,3.07
2019-10-11,3.153
2019-10-12,3.518
2019-10-13,3.852
2019-10-14,3.533
2019-10-15,3.976
2019-10-16,4.031
2019-10-17,3.962
2019-10-18,4.098
2019-10-19,4.516
2019-10-20,4.265
2019-10-21,4.468
2019-10-22,4.789
2019-10-23,4.73
2019-10-24,4.674
2019-10-25,4.76
2019-10-26,4.803
2019-10-27,5.058
2019-10-28,5.21
2019-10-29,5.034
2019-10-30,5.049
2019-10-31,5.031
2019-11-01,5.048
2019-11-02,5.01
2019-11-03,5.446
2019-11-04,5.14
2019-11-05,5.121
2019-11-06,4.901
2019-11-07,4.889
2019-11-08,4.723
2019-11-09,4.681
2019-11-10,4.744
2019-11-11,4.522
2019-11-12,4.413
2019-11-13,4.262
2019-11-14,4.137
2019-11-15,4.264
2019-11-16,3.886
2019-11-17,3.834
2019-11-18,3.722
2019-11-19,3.723
2019-11-20,3.405
2019-11-21,3.258
2019-11-22,3.129
2019-11-23,3.093
2019-11-24,3.185
2019-11-25,2.949
2019-11-26,2.892
2019-11-27,2.831
2019-11-28,3.05
2019-11-29,2.528
2019-11-30,2.463
2019-12-01,2.183
2019-12-02,2.291
2019-12-03,2.161
2019-12-04,1.989
2019-12-05,2.309
2019-12-06,1.942
2019-12-07,1.731
2019-12-08,1.755
2019-12-09,1.623
2019-12-10,1.592
2019-12-11,1.663
2019-12-12,1.661
2019-12-13,1.628
2019-12-14,1.646
2019-12-15,1.399
2019-12-16,1.399
2019-12-17,1.377
2019-12-18,1.664
2019-12-19,1.4
2019-12-20,1.504
2019-12-21,1.402
2019-12-22,1.354
2019-12-23,1.367
2019-12-24,1.352
2019-12-25,1.56
2019-12-26,1.251
2019-12-27,1.237
2019-12-28,1.234
2019-12-29,1.317
2019-12-30,1.476
2019-12-31,1.387
2020-01-01,1.248
2020-01-02,1.326
2020-01-03,1.281
2020-01-04,1.41
2020-01-05,1.224
2020-01-06,1.202
2020-01-07,1.298
2020-01-08,1.244
2020-01-09,1.685
2020-01-10,1.287
2020-01-11,1.206
2020-01-12,1.218
2020-01-13,1.314
2020-01-14,1.417
2020-01-15,1.234
2020-01-16,1.277
2020-01-17,1.218
2020-01-18,1.22
2020-01-19,1.378
2020-01-20,1.555
2020-01-21,1.379
2020-01-22,1.227
2020-01-23,1.379
2020-01-24,1.358
2020-01-25,1.216
2020-01-26,1.369
2020-01-27,1.459
2020-01-28,1.516
2020-01-29,1.27
2020-01-30,1.282
2020-01-31,1.442
2020-02-01,1.203
2020-02-02,1.296
2020-02-03,1.377
2020-02-04,1.455
2020-02-05,1.201
2020-02-06,1.219
2020-02-07,1.483
2020-02-08,1.367
2020-02-09,1.224
2020-02-10,1.213
2020-02-11,1.308
