date,temperature,humidity,wind_speed,precipitation,solar_radiation,aqi,biomass_tons_per_ha,day_of_year,month,weekday,doy_sin,doy_cos,aqi_lag1,aqi_lag7,aqi_7d_mean
2019-01-01,11.175,78.25,5.8,0.175,9.59,139.0468530411535,1.463,1,1,1,0.017213356155834685,0.9998518392091162,139.0468530411535,139.0468530411535,139.0468530411535
2019-01-02,12.625,79.25,6.75,0.6000000000000001,11.4575,110.24306563748716,1.209,2,1,2,0.03442161162274574,0.9994074007397048,139.0468530411535,139.0468530411535,124.64495933932034
2019-01-03,11.725,76.5,8.45,0.0,11.9575,112.60570574364127,1.317,3,1,3,0.051619667223253764,0.998666816288476,110.24306563748716,139.0468530411535,120.63187480742731
2019-01-04,11.225,75.0,6.825,0.0,9.5375,168.50155750751222,1.206,4,1,4,0.06880242680231986,0.9976303053065857,112.60570574364127,139.0468530411535,132.59929548244855
2019-01-05,11.8,79.75,10.6,3.8,9.1575,115.51715719485584,1.676,5,1,5,0.08596479873744647,0.9962981749346078,168.50155750751222,139.0468530411535,129.18286782493
2019-01-06,11.325,84.0,6.725,5.45,9.432500000000001,144.76554583579883,1.385,6,1,6,0.10310169744743485,0.9946708199115211,115.51715719485584,139.0468530411535,131.77998082674148
2019-01-07,10.75,79.0,7.05,0.0,12.122499999999999,150.27520134975805,1.335,7,1,0,0.1202080448993527,0.9927487224577402,144.76554583579883,139.0468530411535,134.42215518717242
2019-01-08,11.625,74.25,8.525,0.0,10.2975,113.9252852518965,1.306,8,1,1,0.13727877211326478,0.9905324521322229,150.27520134975805,139.0468530411535,130.83335978870713
2019-01-09,11.1,73.0,9.65,0.0,12.5275,115.60084800062512,1.375,9,1,2,0.15430882066428117,0.9880226656636976,113.9252852518965,110.24306563748716,131.5987572691554
2019-01-10,10.925,68.75,6.175,0.125,11.4925,138.941365690136,1.336,10,1,3,0.1712931441814776,0.9852201067560606,115.60084800062512,112.60570574364127,135.36099440436894
2019-01-11,12.05,74.0,6.75,1.6500000000000001,11.4675,166.32619790109686,1.391,11,1,4,0.1882267098432442,0.9821256058680006,138.941365690136,168.50155750751222,135.0502287463096
2019-01-12,12.35,78.0,6.925,2.2,11.1075,182.3134556853426,1.211,12,1,5,0.2051044998686192,0.9787400799669153,166.32619790109686,115.51715719485584,144.59255710209342
2019-01-13,12.6,76.75,8.924999999999999,0.95,11.3275,126.40140956002567,1.232,13,1,6,0.2219215130041655,0.9750645322571948,182.3134556853426,144.76554583579883,141.96910906269724
2019-01-14,10.325,64.25,11.15,0.0,13.23,111.19551378907383,1.266,14,1,0,0.2386727660059501,0.9711000518829505,126.40140956002567,150.27520134975805,136.3862965540281
2019-01-15,9.95,66.5,8.3,0.0,12.5025,92.8103785278699,1.27,15,1,1,0.255353295116187,0.9668478136052775,111.19551378907383,113.9252852518965,133.36988130773855
2019-01-16,10.725,73.0,5.775,0.07500000000000001,10.605,178.92704782272904,1.266,16,1,2,0.2719581575341055,0.9623090774541486,92.8103785278699,115.60084800062512,142.41648128232484
2019-01-17,10.525,79.25,6.75,0.0,13.030000000000001,121.24985517024821,1.504,17,1,3,0.288482432880609,0.9574851883550393,178.92704782272904,138.941365690136,139.88912263662658
2019-01-18,11.075000000000001,76.75,7.425,0.0,11.7025,139.7523310878201,1.383,18,1,4,0.30492122465628907,0.9523775757303974,121.24985517024821,166.32619790109686,136.09285594901561
2019-01-19,13.275,74.25,6.775,0.075,11.695,141.19079537077255,1.492,19,1,5,0.3212696616923644,0.9469877530760753,139.7523310878201,182.3134556853426,130.21819018979133
2019-01-20,13.875,78.0,6.1000000000000005,0.0,8.765,185.28817281170726,1.354,20,1,6,0.3375228995941133,0.9413173175128471,141.19079537077255,126.40140956002567,138.63058494003155
2019-01-21,12.925,90.25,8.7,20.4,4.7275,102.11346365278979,1.44,21,1,0,0.3536761221763716,0.9353679493131483,185.28817281170726,111.19551378907383,137.3331492062767
2019-01-22,12.475,91.0,9.8,20.325,6.8,128.97722054793604,1.339,22,1,1,0.3697245428906731,0.9291414114031743,102.11346365278979,92.8103785278699,142.499840923429
2019-01-23,11.075,86.5,6.25,0.55,11.3375,162.9142205455496,1.39,23,1,2,0.38566340624360707,0.9226395488404876,128.97722054793604,178.92704782272904,140.2122941695462
2019-01-24,10.05,84.5,6.0,0.0,12.635,146.8199034465433,1.316,24,1,3,0.401487989205973,0.9158642882672872,162.9142205455496,121.24985517024821,143.86515820901695
2019-01-25,9.8,75.75,5.175,0.0,13.690000000000001,152.60857560513088,1.203,25,1,4,0.4171936026123168,0.9088176373395029,146.8199034465433,139.7523310878201,145.70176456863277
2019-01-26,9.475,72.0,7.825,0.0,14.0275,145.53714834257227,1.249,26,1,5,0.4327755925504312,0.901501684131884,152.60857560513088,141.19079537077255,146.32267213603274
2019-01-27,9.274999999999999,70.25,9.1,0.0,13.6525,106.526958054027,1.243,27,1,6,0.4482293417404106,0.893918596519257,145.53714834257227,185.28817281170726,135.0710700277927
2019-01-28,9.25,66.5,9.35,0.0,14.525,103.33312896757243,1.513,28,1,0,0.4635502709028509,0.886070621534138,106.526958054027,102.11346365278979,135.2453079299045
2019-01-29,9.775,66.25,7.95,0.0,14.6275,116.14634640374177,1.263,29,1,1,0.47873384011578846,0.8779600847008882,103.33312896757243,128.97722054793604,133.41232590930534
2019-01-30,10.575,74.75,7.175,0.7000000000000001,6.37,131.98221482887683,1.684,30,1,2,0.49377555015997715,0.869589389346611,116.14634640374177,162.9142205455496,128.99346794978064
2019-01-31,10.9,83.75,8.75,6.275,7.295,154.09745712699302,1.436,31,1,3,0.5086709438521044,0.8609610158889943,131.98221482887683,146.8199034465433,130.03311847555918
2019-02-01,11.65,84.0,8.225,2.55,11.745000000000001,152.47059553929125,1.416,32,2,4,0.5234156073655503,0.8520775211013093,154.09745712699302,152.60857560513088,130.01340703758208
2019-02-02,11.55,83.0,7.1,0.0,14.155,104.46458395026957,1.209,33,2,5,0.5380051715382996,0.8429415373547828,152.47059553929125,145.53714834257227,124.1458978386817
2019-02-03,12.625,79.5,7.3,0.0,14.86,105.82063260006967,1.249,34,2,6,0.5524353131676196,0.8335557718385699,104.46458395026957,106.526958054027,124.04499420240208
2019-02-04,12.925,78.5,6.45,0.0,13.4475,139.63047300655532,1.337,35,2,0,0.5667017562911176,0.8239230057575542,105.82063260006967,103.33312896757243,129.23032906511392
2019-02-05,14.25,78.75,5.3,0.375,11.61,137.4832866899986,1.267,36,2,1,0.5808002734538009,0.8140460935082178,139.63047300655532,116.14634640374177,132.27846339172203
2019-02-06,14.725,80.5,10.5,8.850000000000001,12.285,114.18155285747791,1.278,37,2,2,0.5947266869607634,0.8039279618328213,137.4832866899986,131.98221482887683,129.73551168152218
2019-02-07,13.325,87.5,13.825,29.1,7.7675,121.54324778380379,1.236,38,2,3,0.6084768701151261,0.7935716089521474,114.18155285747791,154.09745712699302,125.08491034678089
2019-02-08,11.4,78.0,8.25,2.125,15.3125,158.33696381518246,1.261,39,2,4,0.6220467484408675,0.7829801036770629,121.54324778380379,152.47059553929125,125.92296295762249
2019-02-09,11.35,75.25,9.425,0.0,16.0025,135.9115220555972,1.315,40,2,5,0.6354323008901774,0.7721565844991642,158.33696381518246,104.46458395026957,130.41538268695498
2019-02-10,11.725,72.75,7.074999999999999,0.0,14.54,126.26156541606532,2.108,41,2,6,0.6486295610349814,0.7611042586607747,135.9115220555972,105.82063260006967,133.33551594638294
2019-02-11,13.05,74.5,6.699999999999999,0.075,14.157499999999999,152.3812910732105,1.276,42,2,0,0.6616346182422783,0.7498264012045686,126.26156541606532,139.63047300655532,135.15706138447655
2019-02-12,14.075,78.25,5.6,0.1,11.065,134.43571757137713,1.201,43,2,1,0.6744436188329455,0.7383263540031065,152.3812910732105,137.4832866899986,134.7216943675306
2019-02-13,14.85,80.5,5.575,0.0,12.8275,122.5210188318688,1.243,44,2,2,0.6870527672236669,0.7266075247685656,134.43571757137713,114.18155285747791,135.91304664958645
2019-02-14,14.8,88.0,9.65,16.375,8.805,138.4418276123783,1.671,45,2,3,0.699458327051647,0.7146733860429609,122.5210188318688,121.54324778380379,138.32712948223997
2019-02-15,14.775,86.75,7.15,1.8,11.2875,161.07847266192425,1.235,46,2,4,0.7116566222817746,0.7025274741691571,138.4418276123783,158.33696381518246,138.71877360320306
2019-02-16,13.9,86.25,6.5,0.15000000000000002,12.51,204.1684675237012,1.202,47,2,5,0.7236440382959124,0.6901733882429719,161.07847266192425,135.9115220555972,148.4697658129322
2019-02-17,13.45,76.0,8.35,0.65,12.825,169.76069127775162,1.377,48,2,6,0.7354170229639855,0.6776147890466889,204.1684675237012,126.26156541606532,154.68392665031598
2019-02-18,13.7,79.25,8.775,3.9,11.7675,96.3456795536637,1.216,49,2,0,0.7469720876965552,0.6648553979642865,169.76069127775162,152.3812910732105,146.6788392903807
2019-02-19,14.575,79.75,7.299999999999999,1.875,15.1825,169.0906327217116,1.278,50,2,1,0.7583058084785624,0.6518989958787126,96.3456795536637,134.43571757137713,151.6295414547142
2019-02-20,15.925,81.75,12.2,5.85,8.4925,140.14578887197615,1.335,51,2,2,0.7694148268839378,0.6387494220515272,169.0906327217116,122.5210188318688,154.14736574615813
2019-02-21,16.825,84.0,13.575,13.175,9.86,108.9197287298844,1.618,52,2,3,0.7802958510707755,0.6254105729852463,140.14578887197615,138.4418276123783,149.929923048659
2019-02-22,14.85,78.5,9.375,0.5,16.892500000000002,160.0156827652866,1.24,53,2,4,0.7909456567567772,0.6118864012687243,108.9197287298844,161.07847266192425,149.7780959205679
2019-02-23,13.350000000000001,73.0,9.925,0.0,17.975,151.1374207774557,1.361,54,2,5,0.8013610881746766,0.5981809144059165,160.0156827652866,204.1684675237012,142.20223209967568
2019-02-24,13.524999999999999,70.5,7.075,0.0,18.11,177.9009839795575,1.218,55,2,6,0.8115390590073611,0.5842981736283684,151.1374207774557,169.76069127775162,143.36513105707652
2019-02-25,13.725,69.5,6.875,0.425,16.18,125.69916887430327,1.295,56,2,0,0.8214765533024142,0.5702422926917871,177.9009839795575,96.3456795536637,147.55848667431073
2019-02-26,13.225000000000001,76.0,9.525,3.0500000000000003,13.6775,113.71462775740824,1.524,57,2,1,0.8311706263658079,0.5560174366570446,125.69916887430327,169.0906327217116,139.64762882226742
2019-02-27,11.8,81.0,6.6,2.875,14.690000000000001,157.94281672559703,1.264,58,2,2,0.8406184056344782,0.5416278206559814,113.71462775740824,140.14578887197615,142.1900613727847
2019-02-28,12.025,74.25,6.65,0.0,17.89,154.48993900992417,1.349,59,2,3,0.8498170915275278,0.5270777086423722,157.94281672559703,108.9197287298844,148.70009141279039
2019-03-01,13.6,67.25,8.4,0.025,17.6175,115.84496610602751,1.331,60,3,4,0.8587639582758029,0.5123714121284237,154.48993900992417,160.0156827652866,142.3899890328962
2019-03-02,13.899999999999999,77.75,8.05,6.175,5.555,130.41617603806787,1.221,61,3,5,0.8674563547295969,0.49751328890718066,115.84496610602751,151.1374207774557,139.42981121298365
2019-03-03,14.575,82.5,7.375,1.25,13.0925,131.9537957355346,1.362,62,3,6,0.8758917051442429,0.48250774176121847,130.41617603806787,177.9009839795575,132.86592717812326
2019-03-04,14.8,83.25,7.375,1.875,16.8775,124.22215563776074,1.214,63,3,0,0.8840675099433636,0.4673592171580022,131.9537957355346,125.69916887430327,132.6549252871886
2019-03-05,14.95,76.75,7.325,0.07500000000000001,17.67,105.26745083075714,1.245,64,3,1,0.8919813464595485,0.45207220393230435,124.22215563776074,113.71462775740824,131.44818572623845
2019-03-06,15.75,68.5,8.075,0.0,19.072499999999998,109.5869966868721,1.237,65,3,2,0.8996308696522433,0.43665123195606403,105.26745083075714,157.94281672559703,124.54021143499202
2019-03-07,16.125,63.75,7.0249999999999995,0.0,19.34,145.1451224975981,1.239,66,3,3,0.9070138128026359,0.4211008707960896,109.5869966868721,154.48993900992417,123.20523764751685
2019-03-08,15.175,71.0,7.75,1.075,11.6,146.76790781325846,1.22,67,3,4,0.9141279881853337,0.40542572835999735,145.1451224975981,115.84496610602751,127.62280074854985
2019-03-09,15.675,68.75,8.9,0.0,20.0475,154.33364887576815,1.661,68,3,5,0.9209712877166346,0.38963044953078796,146.76790781325846,130.41617603806787,131.03958258250705
2019-03-10,16.35,61.75,7.225,0.0,20.5075,111.3356900298686,1.299,69,3,6,0.9275416835791966,0.37371971479046906,154.33364887576815,131.9537957355346,128.09413891026904
2019-03-11,16.1,72.75,12.65,7.25,10.4375,91.4963473034334,1.292,70,3,0,0.9338372288229252,0.35769823883312546,111.3356900298686,124.22215563776074,123.41902343393656
2019-03-12,16.225,70.25,8.375,0.0,20.77,125.57042513187783,1.376,71,3,1,0.9398560579418954,0.3415707691678556,91.4963473034334,105.26745083075714,126.31944833409666
2019-03-13,15.75,71.5,6.125,0.15000000000000002,12.4125,135.75327085528,1.431,72,3,2,0.9455963874271426,0.3253420847119801,125.57042513187783,109.5869966868721,130.05748750101208
2019-03-14,15.85,73.0,7.225,0.675,16.384999999999998,109.67610755469681,1.256,73,3,3,0.9510565162951535,0.30901699437494745,135.75327085528,145.1451224975981,124.9904853663119
2019-03-15,16.075,70.25,8.325,0.0,20.9875,120.00695757238591,1.245,74,3,4,0.9562348265919056,0.29260033563334836,109.67610755469681,146.76790781325846,121.16749247475867
2019-03-16,17.075,63.0,7.65,0.0,18.2025,112.24245283141512,1.623,75,3,5,0.9611297838723007,0.27609697309746883,120.00695757238591,154.33364887576815,115.15446446842252
2019-03-17,18.675,57.75,7.275,0.0,20.49,133.4686718742233,1.883,76,3,6,0.9657399376548549,0.2595117970697999,112.24245283141512,111.3356900298686,118.31631901761605
