date,temperature,humidity,wind_speed,precipitation,solar_radiation
2019-01-01,11.175,78.25,5.8,0.175,9.59
2019-01-02,12.625,79.25,6.75,0.6000000000000001,11.4575
2019-01-03,11.725,76.5,8.45,0.0,11.9575
2019-01-04,11.225,75.0,6.825,0.0,9.5375
2019-01-05,11.8,79.75,10.6,3.8,9.1575
2019-01-06,11.325,84.0,6.725,5.45,9.432500000000001
2019-01-07,10.75,79.0,7.05,0.0,12.122499999999999
2019-01-08,11.625,74.25,8.525,0.0,10.2975
2019-01-09,11.1,73.0,9.65,0.0,12.5275
2019-01-10,10.925,68.75,6.175,0.125,11.4925
2019-01-11,12.05,74.0,6.75,1.6500000000000001,11.4675
2019-01-12,12.35,78.0,6.925,2.2,11.1075
2019-01-13,12.6,76.75,8.924999999999999,0.95,11.3275
2019-01-14,10.325,64.25,11.15,0.0,13.23
2019-01-15,9.95,66.5,8.3,0.0,12.5025
2019-01-16,10.725,73.0,5.775,0.07500000000000001,10.605
2019-01-17,10.525,79.25,6.75,0.0,13.030000000000001
2019-01-18,11.075000000000001,76.75,7.425,0.0,11.7025
2019-01-19,13.275,74.25,6.775,0.075,11.695
2019-01-20,13.875,78.0,6.1000000000000005,0.0,8.765
2019-01-21,12.925,90.25,8.7,20.4,4.7275
2019-01-22,12.475,91.0,9.8,20.325,6.8
2019-01-23,11.075,86.5,6.25,0.55,11.3375
2019-01-24,10.05,84.5,6.0,0.0,12.635
2019-01-25,9.8,75.75,5.175,0.0,13.690000000000001
2019-01-26,9.475,72.0,7.825,0.0,14.0275
2019-01-27,9.274999999999999,70.25,9.1,0.0,13.6525
2019-01-28,9.25,66.5,9.35,0.0,14.525
2019-01-29,9.775,66.25,7.95,0.0,14.6275
2019-01-30,10.575,74.75,7.175,0.7000000000000001,6.37
2019-01-31,10.9,83.75,8.75,6.275,7.295
2019-02-01,11.65,84.0,8.225,2.55,11.745000000000001
2019-02-02,11.55,83.0,7.1,0.0,14.155
2019-02-03,12.625,79.5,7.3,0.0,14.86
