farmer_id,burn_risk_label,health_impact_score,biomass_tons,buyer_id,buyer_name,buyer_type,distance_km,price_per_ton_inr,gross_revenue_inr,logistics_cost_inr,net_revenue_inr,match_score,capacity_adequate,available_this_month,recommendation_rank
FARMER_0014,High,49.53,45.48,CF001,Punjab Agri Compost Hub,compost_facility,38.0,900,40932.0,25730.0,15202.0,0.6537,True,True,1
FARMER_0014,High,49.53,45.48,AF001,Punjab Dairy Cooperative,animal_feed,101.9,1200,54576.0,64972.0,-10396.0,0.5182,True,False,2
FARMER_0014,High,49.53,45.48,BP002,Doaba Thermal Biomass,biomass_power,106.7,1350,61398.0,67889.0,-6491.0,0.4731,True,True,3
FARMER_0024,High,49.48,1.89,BG002,Punjab Biogas Ludhiana,biogas_plant,147.2,1750,3308.0,2052.0,1256.0,0.4617,True,True,1
FARMER_0024,High,49.48,1.89,BP002,Doaba Thermal Biomass,biomass_power,124.1,1350,2552.0,1856.0,696.0,0.4265,True,True,2
FARMER_0024,High,49.48,1.89,CF001,Punjab Agri Compost Hub,compost_facility,144.3,900,1701.0,2028.0,-327.0,0.3701,True,True,3
FARMER_0015,High,46.19,6.16,PL002,Biomass Pellets Ambala,pellet_plant,51.3,1400,8624.0,2221.0,6403.0,0.6767,True,True,1
FARMER_0015,High,46.19,6.16,BG003,Greenfield Biogas Patiala,biogas_plant,72.1,1700,10472.0,2798.0,7674.0,0.6561,True,True,2
FARMER_0015,High,46.19,6.16,PL001,Punjab Pellets Ltd,pellet_plant,85.3,1450,8932.0,3163.0,5769.0,0.5418,True,True,3
FARMER_0013,High,42.89,18.88,BP002,Doaba Thermal Biomass,biomass_power,76.7,1350,25488.0,7320.0,18168.0,0.5529,True,True,1
FARMER_0013,High,42.89,18.88,PL001,Punjab Pellets Ltd,pellet_plant,89.5,1450,27376.0,8401.0,18975.0,0.5306,True,True,2
FARMER_0013,High,42.89,18.88,BG003,Greenfield Biogas Patiala,biogas_plant,121.4,1700,32096.0,11114.0,20982.0,0.5246,True,True,3
FARMER_0027,High,42.54,25.89,BG002,Punjab Biogas Ludhiana,biogas_plant,34.3,1750,45308.0,9588.0,35720.0,0.7627,True,True,1
FARMER_0027,High,42.54,25.89,PM002,Shreyans Paper Punjab,paper_mill,54.1,1550,40130.0,14215.0,25914.0,0.6865,True,True,2
FARMER_0027,High,42.54,25.89,BP002,Doaba Thermal Biomass,biomass_power,35.6,1350,34952.0,9903.0,25048.0,0.6625,True,True,3
FARMER_0019,High,42.48,8.26,BG002,Punjab Biogas Ludhiana,biogas_plant,128.2,1750,14455.0,5566.0,8889.0,0.5122,True,True,1
FARMER_0019,High,42.48,8.26,BP002,Doaba Thermal Biomass,biomass_power,109.2,1350,11151.0,4857.0,6294.0,0.4664,True,True,2
FARMER_0019,High,42.48,8.26,PL001,Punjab Pellets Ltd,pellet_plant,146.0,1450,11977.0,6225.0,5752.0,0.3799,True,True,3
FARMER_0026,High,41.5,38.42,BG003,Greenfield Biogas Patiala,biogas_plant,40.6,1700,65314.0,15648.0,49666.0,0.74,True,True,1
FARMER_0026,High,41.5,38.42,PL002,Biomass Pellets Ambala,pellet_plant,33.8,1400,53788.0,13273.0,40515.0,0.7233,True,True,2
FARMER_0026,High,41.5,38.42,BP003,Haryana Green Power,biomass_power,47.5,1300,49946.0,18028.0,31918.0,0.675,True,True,3
FARMER_0018,High,38.63,14.55,BG001,NTPC Bio-Energy Ramgarh,biogas_plant,58.3,1800,26190.0,4615.0,21575.0,0.7046,True,True,1
FARMER_0018,High,38.63,14.55,PM002,Shreyans Paper Punjab,paper_mill,119.8,1550,22552.0,8647.0,13906.0,0.5112,True,True,2
FARMER_0018,High,38.63,14.55,BP001,Malwa Power Plant,biomass_power,96.5,1400,20370.0,7115.0,13255.0,0.5061,True,True,3
FARMER_0009,High,36.04,7.28,BG001,NTPC Bio-Energy Ramgarh,biogas_plant,46.8,1800,13104.0,2332.0,10772.0,0.7353,True,True,1
FARMER_0009,High,36.04,7.28,BP001,Malwa Power Plant,biomass_power,82.1,1400,10192.0,3491.0,6701.0,0.5443,True,True,2
FARMER_0009,High,36.04,7.28,PM002,Shreyans Paper Punjab,paper_mill,123.6,1550,11284.0,4851.0,6433.0,0.5011,True,True,3
FARMER_0005,High,35.83,25.03,BG001,NTPC Bio-Energy Ramgarh,biogas_plant,74.3,1800,45054.0,18334.0,26720.0,0.6619,True,True,1
FARMER_0005,High,35.83,25.03,PM002,Shreyans Paper Punjab,paper_mill,77.8,1550,38796.0,19129.0,19668.0,0.6233,True,True,2
FARMER_0005,High,35.83,25.03,BP003,Haryana Green Power,biomass_power,68.5,1300,32539.0,17024.0,15515.0,0.6191,True,True,3
FARMER_0029,High,34.74,11.91,BG001,NTPC Bio-Energy Ramgarh,biogas_plant,66.4,1800,21438.0,4361.0,17077.0,0.6828,True,True,1
FARMER_0029,High,34.74,11.91,BP001,Malwa Power Plant,biomass_power,93.2,1400,16674.0,5796.0,10878.0,0.5148,True,True,2
