farmer_id,lat,lon,biomass_tons_per_ha,predicted_aqi,burn_risk_label,burn_risk_class,burn_risk_confidence,health_impact_score,alert_flag,intervention_urgency,best_buyer_name,best_buyer_distance,best_buyer_net_rev,n_buyers_available
FARMER_0012,32.2802949665458,76.880909325414,5.778,265.7,Critical,3,0.9973,53.65,True,CRITICAL ALERT: notify district authority + emergency biomass pickup,None,,,0
FARMER_0014,31.96828483981249,74.95575657311355,5.767,222.6,High,2,0.9988,49.53,True,"Urgent: dispatch field officer, offer same-day collection",Punjab Agri Compost Hub,38.0,15202.0,3
FARMER_0024,32.179363363966594,76.25994816939051,0.918,466.7,High,2,0.9846,49.48,True,"Urgent: dispatch field officer, offer same-day collection",Punjab Biogas Ludhiana,147.2,1256.0,3
FARMER_0015,30.830242596481995,76.87936126516225,6.0,189.9,High,2,0.9982,46.19,True,"Urgent: dispatch field officer, offer same-day collection",Biomass Pellets Ambala,51.3,6403.0,9
FARMER_0013,31.431595360241992,76.39098087740832,3.895,252.3,High,2,0.9993,42.89,True,"Urgent: dispatch field officer, offer same-day collection",Doaba Thermal Biomass,76.7,18168.0,8
FARMER_0027,30.900163011181103,75.49798836949185,4.696,215.6,High,2,0.9985,42.54,True,"Urgent: dispatch field officer, offer same-day collection",Punjab Biogas Ludhiana,34.3,35720.0,11
FARMER_0019,31.982893515977747,76.32523336470742,3.203,282.3,High,2,0.9993,42.48,True,"Urgent: dispatch field officer, offer same-day collection",Punjab Biogas Ludhiana,128.2,8889.0,4
FARMER_0026,30.083916123555902,76.68869741478127,5.001,192.4,High,2,0.9987,41.5,True,"Urgent: dispatch field officer, offer same-day collection",Greenfield Biogas Patiala,40.6,49666.0,8
FARMER_0018,29.691451768312525,74.8668139845419,4.058,210.1,High,2,0.9987,38.63,True,"Urgent: dispatch field officer, offer same-day collection",NTPC Bio-Energy Ramgarh,58.3,21575.0,4
FARMER_0009,29.884340898026636,74.63956459148827,4.566,159.4,High,2,0.9981,36.04,True,"Urgent: dispatch field officer, offer same-day collection",NTPC Bio-Energy Ramgarh,46.8,10772.0,3
